title,date,summary,link
A Merger Of Innovation And Exponential Technology,"April 10, 2017","The recently concluded two-day SingularityU India Summit 2017 in Mumbai, hosted in association with INK and in collaboration with Deloitte, brought together top thinkers, global business leaders, and organisations. During the Summit, thought leaders and professionals shared their insights on the big trends and technologies that are reshaping industries, governance, health, and society. The second day of the event also saw attendees participating in deep-dive sessions that focused on artificial intelligence, biotechnology, exponential finance, and design thinking.",http://businessworld.in/article/-A-Merger-Of-Innovation-And-Exponential-Technology/10-04-2017-116057/
Emeline and Eric Paat-Dahlstrom Are Helping New Zealand Pioneer the Entrepreneurial Space Industry,"April 3, 2017","Emeline Paat-Dahlstrom fell in love with space at a young age, and never recovered. Despite never being good at maths and physics, she had a dream and persisted to get a Masters in Earth Sensing.",https://stories.ehf.org/building-an-space-ecosystem-in-new-zealand-new-frontiers-2017-63f0f81458fb
GSP Alumni Ankur Jain and Claudia Olsson Named 2017 World Economic Forum Young Global Leaders,"April 3, 2017","Developing gene editing technology, building computers that recognize human emotions, leading multi-billion dollar companies to renewable energy, and rebuilding civil society in a war torn nation. These are some of the Young Global Leaders Class of 2017 awardees who are making outstanding contribution to their field and society.",http://widgets.weforum.org/ygl-2017/
Here Are the Frontier Startups that Presented at Singularity University’s Third Demo Day,"March 31, 2017","The nine startups participating in Singularity University’s accelerator program presented this afternoon at Moffett Federal Airfield just outside Mountain View, CA. Singularity University, founded in 2008 by Peter Diamandis and Ray Kurzweil, aims to make it more feasible for people to address hard science problems and those that require a global reach.",https://techcrunch.com/2017/03/31/here-are-the-frontier-companies-that-presented-at-singularity-universitys-third-demo-day/
The First Swede to Graduate from Singularity U Just Joined the Ranks of Jack Ma and Mark Zuckerberg,"March 16, 2017","Claudia Olsson was the first Swede to graduate from Singularity University, founded by Ray Kurzweil och Peter Diamandis, with the goal of spawning visionary companies that can impact as many people as possible.Young Global Leaders are described as ”courageous, action-oriented and entrepreneurial individuals who use their time and talent to contribute to a positive development in the world.”",http://zentrade.online/the-first-swede-to-graduate-from-singularity-u-just-joined-ranks-of-jack-ma-and-mark-zuckerberg/
Creating Career Advice For The About-To-Be-Automated Worker,"Feb. 13, 2017","If you work at FedEx—or really anywhere in the logistics industry—you might want to scan a recent story in the MIT Technology Review. Headlined ""FedEx Bets on Automation as It Prepares to Fend Off Uber and Amazon,"" it describes how the company is investigating AI-enabled assistants, semi-autonomous trucks, and even ""FedEx courier robots"" that make their own deliveries (such machines already exist).",https://www.fastcoexist.com/3067875/creating-career-advice-for-the-about-to-be-automated-worker
Technology vs. the Middle Class,"Jan. 22, 2017","There is a reason we live in a golden age of dystopian science fiction: Increasingly, it feels like it is coming true. From “The Hunger Games” to “Elysium,” stories depict a world in which the trend of growing wealth and income inequality continues to its logical conclusion.",https://www.wsj.com/articles/technology-vs-the-middle-class-1485107698?mod=ST1
Can Technology Save the Brick-and-Mortar Store?,"Oct. 26, 2016","The era of Amazon and e-commerce was supposed to herald extinction for brick-and-mortar establishments. But in the Bay Area, retailers are fighting back, using homegrown technologies to keep customers coming through their doors.",http://www.sfchronicle.com/business/article/Can-technology-save-the-brick-and-mortar-store-10000749.php
Groundbreaking Documentary with Strong Manx Links to Receive World Premiere in Washington DC,"Oct. 13, 2016","Groundbreaking documentary, The University, focusing on the rise and impact of exponential technologies upon society through the lens of the founding of Singularity University in Silicon Valley in 2009, will receive a world premiere in Washington DC.",http://www.isleofman.com/News/details/80915/groundbreaking-documentary-with-strong-manx-links-to-receive-world-premiere-in-washington-dc
Stuff I Can’t “Un-hear” From Singularity University Exponential Medicine 2016,"Oct. 13, 2016",Last year was my rookie attendance at Singularity University’s Exponential Medicine conference.,https://www.linkedin.com/pulse/stuff-i-cant-un-hear-from-singularity-university-medicine-khayat
