market_name,zip_code
Boston-Manchester,01450
Baton Rouge,70736
Baton Rouge,70737
Baton Rouge,70738
Baton Rouge,70739
Baton Rouge,70740
Baton Rouge,70744
Baton Rouge,70747
Baton Rouge,70748
Baton Rouge,70749
Binghamton,12474
Binghamton,12760
Binghamton,13124
Binghamton,13136
Binghamton,13155
Binghamton,13332
Binghamton,13411
Binghamton,13460
Binghamton,13464
Binghamton,13730
Binghamton,13731
Binghamton,13733
Binghamton,13737
Boise,83635
Boise,83636
Boise,83637
Boise,83638
Boise,83639
Boise,83641
Boise,83642
Austin,73301
Buffalo,14013
Buffalo,14020
Buffalo,14021
Buffalo,14024
Buffalo,14025
Bowling Green,42201
Bowling Green,42207
Bowling Green,42210
Bowling Green,42214
Bowling Green,42219
Bowling Green,42252
Bowling Green,42259
Bowling Green,42261
Bowling Green,42273
Bowling Green,42274
Bowling Green,42275
Bluefield-Beckley-Oak Hill,24822
Bluefield-Beckley-Oak Hill,24823
Augusta,29105
Bangor,04406
Bangor,04408
Birmingham-Ann-Tuscaloosa,35079
Birmingham-Ann-Tuscaloosa,35080
Birmingham-Ann-Tuscaloosa,35082
Birmingham-Ann-Tuscaloosa,35083
Baltimore,20711
Baltimore,20723
Baltimore,20724
Baltimore,20733
Boston-Manchester,01451
Boston-Manchester,01452
Puerto Rico,00601
Baton Rouge,70752
Baton Rouge,70753
Baton Rouge,70754
Baton Rouge,70755
Baton Rouge,70756
Baton Rouge,70757
Baton Rouge,70759
Baton Rouge,70760
Binghamton,13739
Binghamton,13740
Binghamton,13744
Binghamton,13745
Binghamton,13746
Binghamton,13748
Binghamton,13749
Binghamton,13750
Binghamton,13751
Boise,83643
Boise,83644
Boise,83645
Boise,83646
Boise,83647
Boise,83648
Boise,83650
Boise,83651
Boise,83652
Youngstown,16051
Austin,73344
Austin,76527
Austin,76530
Austin,76537
Austin,76573
Austin,76574
Austin,76578
Austin,76831
Austin,76869
Austin,76885
Buffalo,14026
Buffalo,14027
