description,file_urls,city_name,year,files
Download College of the Siskiyous payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2014.csv,College of the Siskiyous,2014,"[{'checksum': 'cae513602453e5f471938bbe2b24906e', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2014.csv', 'path': 'full/62c56dc0302d12254eaaf5d2b16598f1cc6f8808.csv'}]"
Download College of the Redwoods payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/college-redwoods-2015.csv,College of the Redwoods,2015,"[{'checksum': 'c3f3a8248bd4c1b3561c459abe120bb4', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-redwoods-2015.csv', 'path': 'full/ea00ebd7bc2d50b933259619f5c1986a0b9dcc6c.csv'}]"
Download College of the Desert payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/college-desert-2014.csv,College of the Desert,2014,"[{'checksum': '8695ff4290312564553a02d2ef56472b', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-desert-2014.csv', 'path': 'full/29d4218933147edbf399e236076bfc3cdb2a7dea.csv'}]"
Download College of the Siskiyous payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2013.csv,College of the Siskiyous,2013,"[{'checksum': 'b8efc6f51a98850a2a3da133a16ed93a', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2013.csv', 'path': 'full/262d297b5f3e1302676e28a88ec1832d4ac85b04.csv'}]"
Download College of the Redwoods payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/college-redwoods-2014.csv,College of the Redwoods,2014,"[{'checksum': '5a9bc6e5fe7f8441a00bcd9324f2aef1', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-redwoods-2014.csv', 'path': 'full/a87cc6846f748c95e8cef5d2486f90e84997346b.csv'}]"
Download College of the Siskiyous payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2012.csv,College of the Siskiyous,2012,"[{'checksum': 'adec769ed91defde0143f49beb81e479', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-siskiyous-2012.csv', 'path': 'full/8335ca58ce134da11802e9093d686d47cc58e408.csv'}]"
Download College of the Desert payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/college-desert-2013.csv,College of the Desert,2013,"[{'checksum': '9f4fd34180973c2d852d65f83c2a01ae', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-desert-2013.csv', 'path': 'full/c2e0c5887ee160ebe07832d30998f7dc8a59ca15.csv'}]"
Download College of the Desert payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/college-desert-2015.csv,College of the Desert,2015,"[{'checksum': '06e20653d62e04301e94b5c2defff52f', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-desert-2015.csv', 'path': 'full/8495216b6b133aab0f95623c9c25eccd07965843.csv'}]"
Download College of the Canyons payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/college-canyons-2016.csv,College of the Canyons,2016,"[{'checksum': 'f3591c5425a3c1df8dc79031f569f89e', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-canyons-2016.csv', 'path': 'full/8397a85f7688eec387098c26cd4ded8c920e2399.csv'}]"
Download College Of Marin payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/college-marin-2016.csv,College Of Marin,2016,"[{'checksum': '836e7457f789e6e6dee503f39608bb31', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-marin-2016.csv', 'path': 'full/aa2b04270daeab1a4f7610af15e7755c317dc78f.csv'}]"
