year,files,description,city_name,file_urls
2013,"[{'path': 'full/72c9c43972fc9a5ad7f765e3d0b8cfd5ffd40878.csv', 'checksum': '060abe2acfa6645f347fe168cb03db74', 'url': 'https://transcal.s3.amazonaws.com/public/export/arvin-2013.csv'}]",Download Arvin payroll data for 2013,Arvin,https://transcal.s3.amazonaws.com/public/export/arvin-2013.csv
2012,"[{'path': 'full/65c8d84c01d29245d34f57a033c598bfe3fe8d62.csv', 'checksum': '3eedb1c84c4bc8e5c418d8878c22c4a5', 'url': 'https://transcal.s3.amazonaws.com/public/export/atascadero-2012.csv'}]",Download Atascadero payroll data for 2012,Atascadero,https://transcal.s3.amazonaws.com/public/export/atascadero-2012.csv
2011,"[{'path': 'full/0c2189c4d0596364a70bb49b0562e519e450e14a.csv', 'checksum': '98e2fe5ffa05c0af818f30609c931e9e', 'url': 'https://transcal.s3.amazonaws.com/public/export/atascadero-2011.csv'}]",Download Atascadero payroll data for 2011,Atascadero,https://transcal.s3.amazonaws.com/public/export/atascadero-2011.csv
2016,"[{'path': 'full/fb6676f7d02b1fefbfc81a334afee9a8c4e5de36.csv', 'checksum': '745ca6d5298ab30daeb3e3d31934a451', 'url': 'https://transcal.s3.amazonaws.com/public/export/artesia-2016.csv'}]",Download Artesia payroll data for 2016,Artesia,https://transcal.s3.amazonaws.com/public/export/artesia-2016.csv
2015,"[{'path': 'full/411c45ca3691e527c1bcca1db01286118d90761c.csv', 'checksum': '9c230560a0a8721c9bbb68b33fb6140a', 'url': 'https://transcal.s3.amazonaws.com/public/export/artesia-2015.csv'}]",Download Artesia payroll data for 2015,Artesia,https://transcal.s3.amazonaws.com/public/export/artesia-2015.csv
2014,"[{'path': 'full/c88fd769f725847e9fc2ad785027bacf51c5cc85.csv', 'checksum': '4b42dc0aa0753dda4d145367cd647747', 'url': 'https://transcal.s3.amazonaws.com/public/export/artesia-2014.csv'}]",Download Artesia payroll data for 2014,Artesia,https://transcal.s3.amazonaws.com/public/export/artesia-2014.csv
2016,"[{'path': 'full/094fec75a667da539681f193fd311edfbdf5966d.csv', 'checksum': '90970b4c142e4956fed5df0683b01ccb', 'url': 'https://transcal.s3.amazonaws.com/public/export/arvin-2016.csv'}]",Download Arvin payroll data for 2016,Arvin,https://transcal.s3.amazonaws.com/public/export/arvin-2016.csv
2013,"[{'path': 'full/abed3bb753409f2a38a9fc734c1dde3b71ad7ec7.csv', 'checksum': '523f9b02e612fee2ce107ba78ee3eef3', 'url': 'https://transcal.s3.amazonaws.com/public/export/artesia-2013.csv'}]",Download Artesia payroll data for 2013,Artesia,https://transcal.s3.amazonaws.com/public/export/artesia-2013.csv
2011,"[{'path': 'full/4685da6c6593f4d1e80a88caf6d865ef599b10c2.csv', 'checksum': 'b593e1371d8c77c90824ec36ea2b3116', 'url': 'https://transcal.s3.amazonaws.com/public/export/artesia-2011.csv'}]",Download Artesia payroll data for 2011,Artesia,https://transcal.s3.amazonaws.com/public/export/artesia-2011.csv
2014,"[{'path': 'full/48218ea87b46576b7c313e4422a5a30f5fe5ba73.csv', 'checksum': '428b721420f4f595daa97bf142291370', 'url': 'https://transcal.s3.amazonaws.com/public/export/banning-2014.csv'}]",Download Banning payroll data for 2014,Banning,https://transcal.s3.amazonaws.com/public/export/banning-2014.csv
2013,"[{'path': 'full/95c1bcc0b297072e3cf8ffd071512ca45b5a6dba.csv', 'checksum': '043408b8a628bb8cbc51718e3390106a', 'url': 'https://transcal.s3.amazonaws.com/public/export/banning-2013.csv'}]",Download Banning payroll data for 2013,Banning,https://transcal.s3.amazonaws.com/public/export/banning-2013.csv
2012,,Download Banning payroll data for 2012,Banning,https://transcal.s3.amazonaws.com/public/export/banning-2012.csv
2011,,Download Banning payroll data for 2011,Banning,https://transcal.s3.amazonaws.com/public/export/banning-2011.csv
