city_name,year,description,file_urls,files
Orange County,2014,Download Orange County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/orange-county-2014.csv,"[{'checksum': '2170b6ae517c7a8dc79fc0f2dd6ef9be', 'url': 'https://transcal.s3.amazonaws.com/public/export/orange-county-2014.csv', 'path': 'full/1230e721b60e99f2ace3f1e898b9ae00155b1020.csv'}]"
Orange County,2011,Download Orange County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/orange-county-2011.csv,"[{'checksum': '0f63f0a81f8d46f5887c325987ec68c4', 'url': 'https://transcal.s3.amazonaws.com/public/export/orange-county-2011.csv', 'path': 'full/16176766e2cf8f63027b5a5203bf293163b543ea.csv'}]"
Mendocino County,2012,Download Mendocino County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/mendocino-county-2012.csv,"[{'checksum': 'a08cc14d9fbd168bbf638ee0aa1a4158', 'url': 'https://transcal.s3.amazonaws.com/public/export/mendocino-county-2012.csv', 'path': 'full/553dba411e6fe790dd885ec5bd3cdbbb6bf59093.csv'}]"
Merced County,2015,Download Merced County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/merced-county-2015.csv,"[{'checksum': '6058da4ab9bf1eb074ba98c12202c67a', 'url': 'https://transcal.s3.amazonaws.com/public/export/merced-county-2015.csv', 'path': 'full/6ac5cb7b2214caaa45fe47c50873318769942dcb.csv'}]"
Mendocino County,2014,Download Mendocino County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/mendocino-county-2014.csv,"[{'checksum': 'a3cf04c65f9ef32bc0cc0d8a1b5b304f', 'url': 'https://transcal.s3.amazonaws.com/public/export/mendocino-county-2014.csv', 'path': 'full/9e719a4c94f63496df63990e6df213f2e36b7619.csv'}]"
Mendocino County,2015,Download Mendocino County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/mendocino-county-2015.csv,"[{'checksum': '685e7b407ad8a3365308537ee70ffe23', 'url': 'https://transcal.s3.amazonaws.com/public/export/mendocino-county-2015.csv', 'path': 'full/10132e65d1fc238523612de79efc0bd2c0676274.csv'}]"
Mendocino County,2011,Download Mendocino County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/mendocino-county-2011.csv,"[{'checksum': '70b4a494093e54dfd4fe90d8bc12b415', 'url': 'https://transcal.s3.amazonaws.com/public/export/mendocino-county-2011.csv', 'path': 'full/fc597a94967f4575cf8dbb53705659f0a114b861.csv'}]"
Napa County,2015,Download Napa County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/napa-county-2015.csv,"[{'checksum': '3c948d85250c28eb3e4f5abb15e26218', 'url': 'https://transcal.s3.amazonaws.com/public/export/napa-county-2015.csv', 'path': 'full/fffb8d342df0ef2e90423f69a86e03cab6046c27.csv'}]"
Napa County,2013,Download Napa County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/napa-county-2013.csv,"[{'checksum': 'e9676d2dcd745ad6fa5cdd532cfa5aff', 'url': 'https://transcal.s3.amazonaws.com/public/export/napa-county-2013.csv', 'path': 'full/b83a24b3f83b29583464e4004ce317208b2c7000.csv'}]"
Napa County,2012,Download Napa County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/napa-county-2012.csv,"[{'checksum': 'd3b40061de3c01b53d8ad2807191e1f6', 'url': 'https://transcal.s3.amazonaws.com/public/export/napa-county-2012.csv', 'path': 'full/f8dcf33ec389100e1672167dde6b1fece8e432d8.csv'}]"
Mono County,2016,Download Mono County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/mono-county-2016.csv,"[{'checksum': '7d96453a7bae0c40adb46b769e792d6c', 'url': 'https://transcal.s3.amazonaws.com/public/export/mono-county-2016.csv', 'path': 'full/4687e67c49d963004b55ddf9afc3b5c2198bf822.csv'}]"
Mono County,2013,Download Mono County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/mono-county-2013.csv,"[{'checksum': 'a5d192a0e5e20350338bf309b9c41ca8', 'url': 'https://transcal.s3.amazonaws.com/public/export/mono-county-2013.csv', 'path': 'full/0617532750d0edc941dfb27daea047c02cc1ca55.csv'}]"
Napa County,2016,Download Napa County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/napa-county-2016.csv,"[{'checksum': 'a1e11fa2355a5c158c6af4bcd4e152aa', 'url': 'https://transcal.s3.amazonaws.com/public/export/napa-county-2016.csv', 'path': 'full/b62c0365eeb6d322ea62a6e94700f9e97224a734.csv'}]"
Modoc County,2016,Download Modoc County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/modoc-county-2016.csv,"[{'checksum': 'd056e155a96f656209b4d0d4e7872e9e', 'url': 'https://transcal.s3.amazonaws.com/public/export/modoc-county-2016.csv', 'path': 'full/54bbdc4f5d4974e5fdda3df4fa93747e80dabef6.csv'}]"
Mono County,2012,Download Mono County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/mono-county-2012.csv,"[{'checksum': '8d57ea29824429d4c56317f9bf77fdd4', 'url': 'https://transcal.s3.amazonaws.com/public/export/mono-county-2012.csv', 'path': 'full/2f71d6254714cadcc35a537aaf32ede08d7a6400.csv'}]"
